customer_id,name,phone,marketing_consent,event_type,status,date,product_name,amount
CUST-10001,배가빈,010-3838-2999,Y,문자발송,성공,2026-03-17,T-CHURN-01,0
CUST-10001,배가빈,010-3838-2999,Y,구매,결제 완료,2026-05-07,슈링크,293000
CUST-10001,배가빈,010-3838-2999,Y,구매,결제 완료,2026-05-31,고주파 리프팅,337000
CUST-10002,신도호,010-2559-2616,Y,구매,결제 완료,2025-11-20,보습 관리,83000
CUST-10002,신도호,010-2559-2616,Y,구매,결제 완료,2026-01-07,고주파 리프팅,233000
CUST-10002,신도호,010-2559-2616,Y,구매,결제 완료,2026-03-08,슈링크,362000
CUST-10002,신도호,010-2559-2616,Y,문자발송,성공,2026-03-24,T-CHURN-01,0
CUST-10002,신도호,010-2559-2616,Y,구매,결제 완료,2026-03-29,탄력 집중 관리,435000
CUST-10003,서윤아,010-6901-1533,Y,구매,결제 완료,2025-10-13,탄력 집중 관리,242000
CUST-10003,서윤아,010-6901-1533,Y,구매,결제 완료,2025-12-05,물광 주사,141000
CUST-10003,서윤아,010-6901-1533,Y,구매,결제 완료,2026-02-09,보습 관리,81000
CUST-10003,서윤아,010-6901-1533,Y,구매,결제 완료,2026-03-26,물광 주사,166000
CUST-10003,서윤아,010-6901-1533,Y,문자발송,성공,2026-06-26,T-CHURN-01,0
CUST-10004,주리담,010-4887-2327,Y,구매,결제 완료,2025-10-12,탄력 집중 관리,427000
CUST-10004,주리담,010-4887-2327,Y,구매,결제 완료,2025-11-23,물광 주사,152000
CUST-10004,주리담,010-4887-2327,Y,구매,결제 완료,2026-01-12,보습 관리,78000
CUST-10004,주리담,010-4887-2327,Y,구매,결제 완료,2026-02-26,탄력 집중 관리,449000
CUST-10004,주리담,010-4887-2327,Y,문자발송,성공,2026-03-16,T-CHURN-01,0
CUST-10005,심수호,010-6380-4781,Y,구매,결제 완료,2025-10-12,프리미엄 관리,395000
CUST-10005,심수호,010-6380-4781,Y,구매,결제 완료,2025-11-29,프리미엄 관리,587000
CUST-10005,심수호,010-6380-4781,Y,구매,결제 완료,2025-12-17,보습 관리,101000
CUST-10005,심수호,010-6380-4781,Y,구매,결제 완료,2026-01-27,슈링크,155000
CUST-10005,심수호,010-6380-4781,Y,구매,결제 완료,2026-03-16,기본 피부 관리,60000
CUST-10005,심수호,010-6380-4781,Y,구매,결제 완료,2026-04-24,탄력 집중 관리,278000
CUST-10005,심수호,010-6380-4781,Y,문자발송,성공,2026-05-11,T-CHURN-01,0
CUST-10006,한주율,010-5901-1789,Y,구매,결제 완료,2025-12-07,탄력 집중 관리,249000
CUST-10006,한주율,010-5901-1789,Y,구매,결제 완료,2026-01-10,여드름 관리,118000
CUST-10006,한주율,010-5901-1789,Y,구매,결제 완료,2026-02-04,보습 관리,67000
CUST-10006,한주율,010-5901-1789,Y,구매,결제 완료,2026-03-31,탄력 집중 관리,299000
CUST-10006,한주율,010-5901-1789,Y,문자발송,성공,2026-05-01,T-CHURN-01,0
CUST-10006,한주율,010-5901-1789,Y,구매,결제 완료,2026-05-15,프리미엄 관리,488000
CUST-10007,윤지율,010-2256-2461,Y,구매,결제 완료,2025-10-25,슈링크,241000
CUST-10007,윤지율,010-2256-2461,Y,구매,결제 완료,2025-12-02,탄력 집중 관리,366000
CUST-10007,윤지율,010-2256-2461,Y,구매,결제 완료,2026-01-09,보습 관리,65000
CUST-10007,윤지율,010-2256-2461,Y,구매,결제 완료,2026-02-11,슈링크,274000
CUST-10007,윤지율,010-2256-2461,Y,구매,결제 완료,2026-03-26,여드름 관리,109000
CUST-10007,윤지율,010-2256-2461,Y,구매,결제 완료,2026-05-05,기본 피부 관리,83000
CUST-10007,윤지율,010-2256-2461,Y,문자발송,성공,2026-07-28,T-CHURN-01,0
CUST-10008,구민호,010-6857-2073,Y,구매,결제 완료,2025-10-02,슈링크,188000
CUST-10008,구민호,010-6857-2073,Y,구매,결제 완료,2025-10-24,고주파 리프팅,362000
CUST-10008,구민호,010-6857-2073,Y,구매,결제 완료,2025-12-02,프리미엄 관리,416000
CUST-10008,구민호,010-6857-2073,Y,구매,결제 완료,2026-01-09,탄력 집중 관리,211000
CUST-10008,구민호,010-6857-2073,Y,예약,노쇼,2026-02-13,탄력 집중 관리,0
CUST-10008,구민호,010-6857-2073,Y,구매,결제 완료,2026-03-19,보습 관리,55000
CUST-10008,구민호,010-6857-2073,Y,문자발송,성공,2026-07-13,T-CHURN-01,0
CUST-10009,구은원,010-5692-4881,Y,예약,노쇼,2025-10-15,여드름 관리,0
CUST-10009,구은원,010-5692-4881,Y,구매,결제 완료,2025-11-09,탄력 집중 관리,386000
CUST-10009,구은원,010-5692-4881,Y,예약,취소,2025-12-17,슈링크,0
CUST-10009,구은원,010-5692-4881,Y,구매,결제 완료,2026-02-01,기본 피부 관리,89000
CUST-10009,구은원,010-5692-4881,Y,구매,결제 완료,2026-03-23,보습 관리,99000
CUST-10009,구은원,010-5692-4881,Y,문자발송,성공,2026-06-11,T-CHURN-01,0
CUST-10010,한하수,010-8146-3665,Y,구매,결제 완료,2026-04-22,물광 주사,117000
CUST-10010,한하수,010-8146-3665,Y,문자발송,성공,2026-05-24,T-CHURN-01,0
CUST-10010,한하수,010-8146-3665,Y,구매,결제 완료,2026-06-03,기본 피부 관리,76000
CUST-10011,김수수,010-8883-6981,Y,구매,결제 완료,2025-11-24,여드름 관리,122000
CUST-10011,김수수,010-8883-6981,Y,구매,결제 완료,2026-01-02,슈링크,220000
CUST-10011,김수수,010-8883-6981,Y,예약,취소,2026-02-18,여드름 관리,0
CUST-10011,김수수,010-8883-6981,Y,문자발송,성공,2026-03-14,T-CHURN-01,0
CUST-10011,김수수,010-8883-6981,Y,구매,결제 완료,2026-03-31,프리미엄 관리,374000
CUST-10012,하유수,010-8530-6852,Y,구매,결제 완료,2025-11-29,프리미엄 관리,542000
CUST-10012,하유수,010-8530-6852,Y,구매,결제 완료,2026-01-15,기본 피부 관리,90000
CUST-10012,하유수,010-8530-6852,Y,구매,결제 완료,2026-03-19,고주파 리프팅,243000
CUST-10012,하유수,010-8530-6852,Y,구매,결제 완료,2026-04-10,탄력 집중 관리,350000
CUST-10012,하유수,010-8530-6852,Y,문자발송,성공,2026-05-09,T-CHURN-01,0
CUST-10012,하유수,010-8530-6852,Y,구매,결제 완료,2026-05-23,탄력 집중 관리,319000
CUST-10013,문리서,010-6187-7489,N,예약,취소,2026-01-09,보습 관리,0
CUST-10013,문리서,010-6187-7489,N,구매,결제 완료,2026-02-21,탄력 집중 관리,273000
CUST-10013,문리서,010-6187-7489,N,구매,결제 완료,2026-04-29,프리미엄 관리,574000
CUST-10014,최예준,010-2933-7860,Y,구매,결제 완료,2026-03-17,물광 주사,176000
CUST-10014,최예준,010-2933-7860,Y,구매,결제 완료,2026-05-07,보습 관리,71000
CUST-10014,최예준,010-2933-7860,Y,문자발송,성공,2026-07-25,T-CHURN-01,0
CUST-10015,노가희,010-4875-4898,Y,구매,결제 완료,2025-11-18,기본 피부 관리,88000
CUST-10015,노가희,010-4875-4898,Y,구매,결제 완료,2025-12-20,물광 주사,106000
CUST-10015,노가희,010-4875-4898,Y,구매,결제 완료,2026-02-11,기본 피부 관리,90000
CUST-10015,노가희,010-4875-4898,Y,구매,결제 완료,2026-04-20,물광 주사,172000
CUST-10015,노가희,010-4875-4898,Y,문자발송,성공,2026-05-15,T-CHURN-01,0
CUST-10016,송민서,010-1247-1684,Y,구매,결제 완료,2026-03-07,고주파 리프팅,317000
CUST-10016,송민서,010-1247-1684,Y,예약,노쇼,2026-04-29,슈링크,0
CUST-10016,송민서,010-1247-1684,Y,문자발송,성공,2026-06-28,T-CHURN-01,0
CUST-10017,권가율,010-1513-7584,Y,구매,결제 완료,2025-12-12,기본 피부 관리,111000
CUST-10017,권가율,010-1513-7584,Y,구매,결제 완료,2026-01-24,보습 관리,70000
CUST-10017,권가율,010-1513-7584,Y,구매,결제 완료,2026-03-16,고주파 리프팅,196000
CUST-10017,권가율,010-1513-7584,Y,구매,결제 완료,2026-05-01,보습 관리,78000
CUST-10017,권가율,010-1513-7584,Y,문자발송,성공,2026-08-05,T-CHURN-01,0
CUST-10018,심서원,010-3704-1087,Y,구매,결제 완료,2026-03-07,슈링크,161000
CUST-10018,심서원,010-3704-1087,Y,구매,결제 완료,2026-04-10,슈링크,315000
CUST-10018,심서원,010-3704-1087,Y,문자발송,성공,2026-06-08,T-CHURN-01,0
CUST-10019,오소서,010-2530-7543,N,구매,결제 완료,2026-01-31,슈링크,185000
CUST-10019,오소서,010-2530-7543,N,구매,결제 완료,2026-03-22,고주파 리프팅,295000
CUST-10019,오소서,010-2530-7543,N,구매,결제 완료,2026-05-01,탄력 집중 관리,414000
CUST-10020,문민담,010-6869-6590,Y,구매,결제 완료,2025-11-13,슈링크,356000
CUST-10020,문민담,010-6869-6590,Y,구매,결제 완료,2026-01-01,슈링크,359000
CUST-10020,문민담,010-6869-6590,Y,구매,결제 완료,2026-01-25,물광 주사,130000
CUST-10020,문민담,010-6869-6590,Y,구매,결제 완료,2026-03-17,고주파 리프팅,203000
CUST-10020,문민담,010-6869-6590,Y,구매,결제 완료,2026-04-22,탄력 집중 관리,438000
CUST-10020,문민담,010-6869-6590,Y,문자발송,실패,2026-06-19,T-CHURN-01,0
CUST-10021,최은정,010-1468-7691,Y,예약,노쇼,2026-02-19,기본 피부 관리,0
CUST-10021,최은정,010-1468-7691,Y,예약,취소,2026-04-06,기본 피부 관리,0
CUST-10021,최은정,010-1468-7691,Y,문자발송,성공,2026-05-14,T-CHURN-01,0
CUST-10022,김채호,010-8556-4952,Y,구매,결제 완료,2025-12-30,슈링크,256000
CUST-10022,김채호,010-8556-4952,Y,구매,결제 완료,2026-02-10,기본 피부 관리,80000
CUST-10022,김채호,010-8556-4952,Y,문자발송,성공,2026-03-31,T-CHURN-01,0
CUST-10022,김채호,010-8556-4952,Y,구매,결제 완료,2026-04-03,여드름 관리,139000
CUST-10023,오다경,010-8920-4130,Y,구매,결제 완료,2026-02-06,슈링크,201000
CUST-10023,오다경,010-8920-4130,Y,구매,결제 완료,2026-03-07,기본 피부 관리,103000
CUST-10023,오다경,010-8920-4130,Y,문자발송,성공,2026-07-03,T-CHURN-01,0
CUST-10024,임서수,010-7791-7179,Y,구매,결제 완료,2025-10-20,고주파 리프팅,357000
CUST-10024,임서수,010-7791-7179,Y,예약,노쇼,2025-12-07,프리미엄 관리,0
CUST-10024,임서수,010-7791-7179,Y,구매,결제 완료,2026-01-22,기본 피부 관리,106000
CUST-10024,임서수,010-7791-7179,Y,구매,결제 완료,2026-02-23,물광 주사,170000
CUST-10024,임서수,010-7791-7179,Y,구매,결제 완료,2026-03-29,고주파 리프팅,190000
CUST-10024,임서수,010-7791-7179,Y,문자발송,성공,2026-04-13,T-CHURN-01,0
CUST-10025,윤하경,010-7074-6094,Y,예약,노쇼,2025-11-02,기본 피부 관리,0
CUST-10025,윤하경,010-7074-6094,Y,구매,결제 완료,2025-12-08,탄력 집중 관리,447000
CUST-10025,윤하경,010-7074-6094,Y,구매,결제 완료,2026-01-24,기본 피부 관리,78000
CUST-10025,윤하경,010-7074-6094,Y,구매,결제 완료,2026-03-05,보습 관리,85000
